realisateur~id_film
Eric Fraticelli~42303
Edson Oda~49021
Frankie Wallach~51266
Todd Robinson~52576
Jonathan Jakubowicz~74720
Jeff Wadlow~128742
Leigh Whannell~129473
Aaron Sorkin~130085
Jim Cummings (II)~140318
Adil El Arbi~172048
Bilall Fallah~172048
Olivier Megaton~175621
William Olsson~176475
Claus Drexel~199293
Ben Wheatley~203393
Dave Wilson (II)~204239
Dean Parisot~204380
Michael Matthews~209011
Paul W.S. Anderson~212776
Joel Crawford~220796
Tony Cervone~223543
Benh Zeitlin~223801
Clint Eastwood~226927
Nicolas Pesce~227834
Thea Sharrock~228233
Jeff Fowler~229574
Rod Lurie~229918
Michael Almereyda~230980
David Victori~235822
Niki Caro~236613
Josh Boone~237864
Zoe Lister-Jones~238318
David Oyelowo~238540
Destin Daniel Cretton~239735
Brett Haley~239793
Tim Hill~242955
Justin Baldoni~244825
Danis Tanovic~245066
Brett Haley~246114
Fernando González Molina~246204
Andy De Emmony~247544
Zoé Wittock~247887
Brian Duffield~247970
Marc Munden~248084
Tim Hill~248196
Brad Ableson~248481
Jonathan Del Val~248481
Kyle Balda~248481
Richard Tanne~248538
Florian Gallenberger~248624
Aaron Schneider~250108
Paula Van der Oest~250282
David Prior~250838
Ciro Guerra~251126
Ben Mole~251300
David P. Smith~251303
Walt Dohrn~251303
Christopher Nolan~251315
Dan Scanlon~251353
Kemp Powers~251354
Pete Docter~251354
Josh Trank~251401
Ryûhei Kitamura~251813
Evan Morgan~253376
Liz Garbus~253821
Thomas Kail~253979
Martin Bourboulon~254015
Ross Stewart~254359
Tomm Moore~254359
Bastian Günther~254439
Mitja Okorn~254508
Stephen Gaghan~254755
Ron Howard~255411
Cory Evans~255548
Kris Pearn~255548
Pilar Palomero~255868
Sean McCormack (II)~255961
Toby Genkel~255961
Benjamin Diouris~256203
Paul Greengrass~256220
Marco Pontecorvo~256312
Joanna Hogg~256403
Francis Annan~256405
Patty Jenkins~256588
Sam Liu~257202
Ben Falcone~257735
Justin Simien~258251
Floria Sigismondi~258623
Dee Rees~259428
Chris Sanders~259759
David Silverman~260397
Raymond S. Persi~260397
Rodrigo Sepúlveda~260758
James D'Arcy~260892
John Hyams~261168
Valérie Lemercier~261294
David E. Talbert~261326
Harry Bradbeer~261721
Isabelle Czajka~262089
Anas Khalaf~262097
Rana Kazkaz~262097
Sean Durkin~262145
Charlie Kaufman~262151
Stéphane Demoustier~262182
Edward James Olmos~262281
Jamie Babbit~262377
Glen Keane~262477
John Kahrs~262477
Joshua Friedlander~262535
Colin Krisel~262801
James Krisel~262801
Antonio Campos~262861
Leonie Krippendorff~263104
Miranda July~263390
Danielle Arbid~263555
Ben Cookson~263662
Craig Zobel~263711
Maggie Peren~263776
Anne Paulicevich~263796
Frédéric Fonteyne~263796
Philippe Garrel~264054
Thor Freudenthal~264174
Cathy Yan~264177
Clea DuVall~264297
Holger Tappe~264517
Jérémie Guez~264525
Christopher MacBride~264598
Robin Pront~264617
Adam Gunn~264645
Matthias Temmermans~264645
Alexs Stadermann~264648
Kevin McManus~264667
Matthew McManus~264667
Thierry de Peretti~264694
Ric Roman Waugh~264720
Brandon Cronenberg~264768
Nicol Paone~264856
Fabienne Godet~264892
Miguel Arteta~264986
Philippe Falardeau~265087
Lee Daniels~265425
Aneesh Chaganty~265479
David Dobkin~265568
Robert Zemeckis~265585
Joe Robert Cole~265590
Burhan Qurbani~265625
David Ayer~265659
Peter Berg~265746
Trey Edward Shults~265900
Andy Goddard~265910
Roberto Santucci~265987
Eric Besnard~266036
Benjamin Parent~266257
Roger Michell~266297
Dennis Gansel~266326
Gina Prince-Bythewood~266487
Tate Taylor~266638
Ricky Staub~266827
Deon Taylor~266845
Sang-Ho Yeon~266875
Osgood Perkins~266889
Amro Hamzawi~267162
Angel Kristi Williams~267237
Argyris Papadimitropoulos~267259
Anne Fontaine~267302
Nora Martirosyan~267319
Michael Showalter~267358
Sam Hargrave~267389
Clark Johnson~267653
Méliane Marcaggi~267703
Will Wernick~267774
C.B. Yi~267960
Vincent Le Port~267961
Ariel Schulman~268042
Henry Joost~268042
Omar Zúñiga Hidalgo~268124
Hélier Cisterne~268283
Natalie Erika James~268322
Aurel~268348
Jon Stewart~268373
Mark Williams (II)~268631
Jean-Paul Salomé~268644
Viggo Mortensen~268684
Neil Marshall~268709
Clark Duke~268801
Andrew Levitas~268923
William Brent Bell~268927
Ben Stassen~268934
Jérémie Degruson~268934
Chris Riedell~269127
Nick Riedell~269127
Gia Coppola~269152
Kelly Reichardt~269258
Tate Taylor~269319
Prentice Penny~269425
Samuel Benchetrit~269513
Raphaël Jacoulot~269514
Setsurô Wakamatsu~269695
Michael Fimognari~269977
Àlex Pastor~269991
David Pastor~269991
Robert Connolly~270075
Christian Faure~270220
Michel Franco~270257
Kitty Green~270435
Ruben Alves~270443
Francis Lee~270485
Antonin Peretjatko~270560
Olivier Baroux~270653
Sofia Coppola~270959
Charlène Favier~271068
Judd Apatow~271357
Roseanne Liang~271379
Gabriel Range~271427
Ludovic Bergery~271453
Mikael Marcimain~271454
Joshua Caldwell~271502
Barry Alexander Brown~271550
Nicholas Jarecki~271574
Andrew Erwin~271592
Jon Erwin~271592
Cüneyt Kaya~271597
Oliver Kienle~271598
Felix Binder~271599
Daniel Cohen~271602
Rémi Chayé~271607
Chris Miller (LX)~271646
Phil Lord~271646
Moritz Bleibtreu~271656
Chloé Zhao~271687
Spike Lee~271699
Martin Provost~271733
Vince Marcello~271766
Jan Kounen~271832
Eran Kolirin~271844
Thomas Bezucha~271917
Christian Petzold~271953
Eugene Ashe~272015
Arab Nasser~272131
Tarzan Nasser~272131
John Whitesell~272209
Joe Begos~272210
Tyler Spindel~272213
Caroline Vignal~272217
Stéphanie Chuat~272249
Véronique Reymond~272249
Haruo Sotozaki~272355
Michael Dowse~272387
Dani de la Orden~272428
Max Barbakow~272475
Dave Franco~272483
Lucas Belvaux~272523
Euros Lyn~272586
Alexander Dierbach~272604
Cristi Puiu~272698
Stella Meghie~272766
Lauren Palmigiano~272768
Kenji Nagasaki~272834
Dimitri Logothetis~272835
Julien Leclercq~272970
Emerald Fennell~273120
Laura Terruso~273208
Agnieszka Holland~273263
Rodrigo Sorogoyen~273345
Michael M. Scott~273369
Michael Venus~273373
April Mullen~273445
Reinaldo Marcus Green~273446
Eliza Hittman~273487
Joe Mantello~273577
Dean Craig~273578
Andy Tennant~273783
Julia Hart~273856
Ludovic Bernard~273882
Just Philippot~273912
Florian Zeller~273981
Ashley Avis~274079
Eshom Nelms~274090
Ian Nelms~274090
Matt Eskandari~274112
Michael Polish~274141
Seth Larney~274158
Anna Mastro~274161
George Gallo~274177
Cary Murnion~274180
Jonathan Milott~274180
Jézabel Marques~274203
Yann Gozlan~274204
Derrick Borte~274205
Antoine de Maximy~274282
David Caviglioli~274312
Hugo Benamozig~274312
Albert Dupontel~274345
Rodrigo García~274347
Roger Kumble~274369
Nisha Ganatra~274394
Cédric Jimenez~274530
Michael Samuels~274558
Gilles de Maistre~274585
Julius Berg~274627
Steven Brill~274680
Naomi Kawase~274683
Bernard Stora~274710
Hu Guan~274740
Eric Duret~274780
Martin Wood~274802
François Ozon~274837
Alice Wu~274978
Thomas Vinterberg~275050
Edward Hall~275086
Noémie Saglio~275121
Jean-Pierre Améris~275138
George C. Wolfe~275143
Diego Cohen~275151
Alexandre Bustillo~275155
Julien Maury~275155
Stanley Tong~275156
André Erkau~275198
George Clooney~275220
Ryan Murphy~275230
Laurent Lafitte~275263
Christophe Hermans~275443
Regina King~275539
David Fincher~275554
Lee Isaac Chung~275596
Benoît Delépine~275608
Gustave Kervern~275608
Andrew Cohn~275776
Clovis Cornillac~275805
Christopher Renz~275832
Gerard Bush~275832
Albert Pintó~275838
Gaspar Noé~275913
Elissa Down~275949
Olivier Pairoux~275976
Hallvard Bræin~276010
John Swab~276014
Mark Tonderai~276096
Guillaume Brac~276223
Chris Columbus~276269
McG~276506
Steven Soderbergh~276539
Barnaby Thompson~276589
Dallas Jackson~276628
Julien Zidi~276629
Robert Rodriguez~276644
Owen Trevor~276647
Trish Sie~276756
Emmanuelle Bercot~276768
Pascal Rabaté~276865
Dennis Dugan~276907
Christopher Landon~276909
Ludovic Boukherma~277071
Zoran Boukherma~277071
Faraz Shariat~277146
Laurent Tuel~277158
Marc Meyers~277247
Rachel Talalay~277275
Stéphanie Pillonca~277382
Daniel Calparsoro~277387
Gitta Gsell~277435
Jean-Pascal Zadi~277532
John Wax~277532
Laurent Tirard~277534
Alain Guiraudie~277536
Adeline Darraux~277575
Jean-Patrick Benes~277716
Janis Cimermanis~277724
Emmanuel Marre~277726
Julie Lecoustre~277726
Jérôme Bonnell~277728
Elie Wajeman~277729
Peter Sullivan~277792
Didier Bivel~277877
Anna Cazenave Cambet~277936
Xavier Beauvois~277955
Davy Durand~277986
Stéphane Aubier~277986
Vincent Patar~277986
Audrey Estrougo~277998
Jérémy Minui~278085
Marc Dugain~278089
Frédéric Videau~278094
Carles Torras~278142
Mark Steven Johnson~278278
Lluis Quilez~278295
Azazel Jacobs~278355
Katie Found~278363
Johnny Martin~278470
Mike Rohl~278531
Baptiste Drapeau~278579
Vaughn Stein~278647
Kevin Macdonald~278650
Franziska Stünkel~278660
Sylvie Ohayon~278695
Mirjam Unger~278696
Daniel Prochaska~278699
Roger Michell~278710
Kike Maillo~278813
Cheyenne Carron~278837
Peter Dourountzis~278845
Nadège Loiseau~278850
Christopher Thompson~278851
Javier Fesser~278900
Bruno Podalydès~278933
Emmanuel Mouret~278943
Brannon Braga~279019
Harry Macqueen~279074
Eytan Fox~279097
Steven Soderbergh~279217
Emmanuel Poulain-Arnaud~279259
Delphine Lemoine~279298
Tony Tilse~279302
Tyler Perry~279318
Chloé Mazlo~279324
François Desagnat~279326
Pawo Choyning Dorji~279377
Yassine Qnia~279380
Jonathan Safir~279433
Kamir Aïnouz~279488
Bruno Merle~279517
David Pablos~279558
Ángel Gomez~279576
Marie-Castille Mention-Schaar~279610
Andy Newbery~279622
Jeff Baena~279629
Alan Ball~279630
Patrick Ridremont~279678
Edoardo Vitaletti~279718
Adam Rehmeier~279733
Icíar Bollaín~279825
Monia Chokri~279838
Arnaud Larrieu~279867
Jean-Marie Larrieu~279867
Lluis Danès~279870
Jeanette Nordahl~279872
Andrew Lawrence~279910
Dante Lam~279937
Etienne Comar~279941
Maïwenn~280076
Zeina Durra~280182
Michael Caissie~280199
Axelle Ropert~280226
Goro Miyazaki~280242
Cesc Gay~280255
André Øvredal~280278
Sharon Maguire~280343
Anders Thomas Jensen~280446
Chaïtane Conversat~280452
Lenka Ivancíková~280452
Nina Bisyarina~280452
Raúl “Robin” Morales~280452
Svetlana Andrianova~280452
Jérôme Cornuau~280489
Chris Briant~280492
Claude Lelouch~280517
Fred Cavayé~280533
Min-ho Woo~280538
Ivan Silvestrini~280550
Ethan Spaulding~280560
Christopher Smith~280569
Bruno Garcia~280588
Christian Guerinel~280593
Sung-hyun Yoon~280657
Max Pachman~280663
Ricard Cussó~280717
Barbara Bialowas~280764
Tomasz Mandes~280764
Hong Sang-Soo~280796
Tsai Ming-liang~280801
Mohammad Rasoulof~280802
Francesco Lettieri~280853
Kavich Neang~280867
Daniel Roby~280885
Rachel Lang (II)~280898
Pierre Isoard~280905
Olivier Langlois~280937
Sean Olson~280944
Fedor Bondarchuk~280978
Marwen Abdallah~281004
Bruno Garcia~281021
Christophe Barratier~281050
Patrice Laliberté~281062
Scott Teems~281086
John Suits~281143
Thitia Marquez~281233
Daniel Nolasco~281250
Ariel Winograd~281251
Kuang-Hui Liu~281256
Remi Weekes~281265
Matt Eskandari~281374
Anders Banke~281381
Joachim Hedén~281396
Adam Egypt Mortimer~281408
Hamish Hamilton (II)~281418
Roman Coppola~281418
Kiyoshi Kurosawa~281509
Anna Kerrigan~281574
Ant Horasanli~281616
Daniel Monzón~281646
Steven Kostanski~281668
Christophe Douchand~281720
David Foenkinos~281742
Stéphane Foenkinos~281742
Joe Lawlor~281754
Mathieu Gerault~281765
Uberto Pasolini~281768
Christian Faure~281830
Emmanuelle Dubergey~281853
Jesse V. Johnson~281868
Sebastián Schindel~281964
Jay Karas~281993
Jose Magan~282005
Taichi Ishidate~282026
Yong-hoon Kim~282031
Chad Hartigan~282101
Sabrina Doyle~282102
Brendan Walsh~282125
Egor Abramenko~282171
Reginald Hudlin~282173
Carlos Lopez Estrada~282213
Eric Demeusy~282216
Emmanuel Parraud~282267
Michael Feifer~282279
Francesco Amato~282312
Nicolas Moneuse~282326
Claire Scanlon~282357
Brandon Trost~282363
Guillaume Pierret~282416
Kaare Andrews~282609
Ninian Doff~282633
Lorenzo Gabriele~282649
Alejandro Montiel~282735
Kyung-hun Cho~282950
Adrian Bol~283244
Jun'ichi Satô~283350
Tomotaka Shibayama~283350
Hyung-cho Il~283365
Rocco Ricciardulli~283424
Antonio Usbergo~283426
Niccolò Celaia~283426
Douglas Keeve~283436
Kelly Hallmark~283436
Matt Newton~283436
Michael Escobedo~283436
Nour Wazzi~283436
Sam N. Powell~283436
Toni Tikkanen~283436
Carine Tardieu~283476
Jarand Breian Herdal~283549
Matthijs van Heijningen Jr.~283570
Lance Hool~283597
Bartosz M. Kowalski~283601
Chris Palmer~283668
Sydney Sibilia~283679
Kôji Fukada~283715
Farid Bentoumi~283729
Suzanne Lindon~283733
Jonathan Nossiter~283737
Fernando Trueba~283743
Ayten Amin~283744
Ben Sharrock~283746
Pascal Plante~283748
Magnus von Horn~283751
Jimmy Keyrouz~283755
Dea Kulumbegashvili~283758
Gabriele Muccino~283794
Daniel Snaddon~283811
Max Lang~283811
Aleem Khan~283854
Hélène Ducrocq~283952
Célia Tisserant~283953
Célia Tocco~283953
Frits Standaert~283953
Pascale Hecquet~283953
Arnaud Demuynck~283954
Benjamin Botella~283954
Emmanuelle Gorgiard~283954
Christophe Offenstein~283994
Jared Cohn~284068
Won-Chan Hong~284302
Scott Wiper~284321
Gavin Rothery~284382
Jens Dahl~284383
Frédéric Forestier~284459
Charles Martin Smith~284590
John Pogue~284645
Thierry Petit~284659
Derek Presley~284695
François Uzan~284745
Leopoldo Aguilar~284802
Laurent Dussaux~284809
Zaida Bergroth~284812
Mabrouk el Mechri~284817
Gabriel Julien-Laferrière~284822
Jan Komasa~284831
Tom Paton~284838
Olympe de G.~284841
David Freyne~284962
Thierry Binisti~285003
Monica Zanetti~285021
Ricky Mastro~285039
Romuald Boulanger~285060
Michael Duggan~285143
Kyle Rankin~285146
Phil Abraham~285151
Daniel Lusko~285221
Kourosh Ahari~285245
Brian Skiba~285257
Elza Kephart~285260
Rodrigo Perez-Castro~285301
Eleanor Coppola~285304
Emma Seligman~285305
M.J. Bassett~285322
Alister Grierson~285324
Robert Benjamin~285324
Peter Facinelli~285325
Stephan Streker~285331
Thomas Astruc~285356
Lydia Dean Pilcher~285388
Cyril Gelblat~285394
Emma Dante~285491
Mona Fastvold~285494
Andrey Konchalovsky~285495
Majid Majidi~285496
Chaitanya Tamhane~285498
Jasmila Žbanić~285499
Olivier Guignard~285535
Isabelle Favez~285617
Jo Boag~285617
Samantha Leriche-Gionet~285617
Sophie Martin~285617
Philippe Lacôte~285624
Jean-Marc Rudnicki~285644
Teddy Chan~285675
Pat Mills~285688
Bosede Williams~285690
Pat Kiely~285692
Ryan Bellgardt~285708
Catherine Klein~285713
David Albala~285741
Anthony Scott Burns~285798
Mike Elliott~285853
Elbert Van Strien~285854
Yimou Zhang~285858
Emmanuel Osei-Kuffour~285860
Elan Dassani~285862
Rajeev Dassani~285862
Zu Quirke~285863
Michael Damian~285868
Hoon-Jung Park~285928
Gerald Rascionato~285936
Ismaël El Iraki~285966
Dusty Mancinelli~286005
Madeleine Sims-Fewer~286005
