scenariste~id_film
Didier Bourdon~42303
Eric Fraticelli~42303
Edson Oda~49021
Todd Robinson~52576
Jonathan Jakubowicz~74720
Chris Roach~128742
Jeff Wadlow~128742
Jillian Jacobs~128742
H.G. Wells~129473
Leigh Whannell~129473
Aaron Sorkin~130085
Jim Cummings (II)~140318
Chris Bremner~172048
Joe Carnahan~172048
Peter Craig~172048
Greg Tocchini~175621
Karl Gajdusek~175621
Rick Remender~175621
Catherine Hanrahan~176475
Claus Drexel~199293
Olivier Brunhes~199293
Anna Waterhouse~203393
Daphné Du Maurier~203393
Jane Goldman~203393
Joe Shrapnel~203393
Bob Layton~204239
Don Perlin~204239
Eric Heisserer~204239
Jeff Wadlow~204239
Kevin Van Hook~204239
Chris Matheson~204380
Ed Solomon~204380
Brian Duffield~209011
Matthew Robinson (II)~209011
Kaname Fujioka~212776
Paul W.S. Anderson~212776
Bob Logan~220796
Dan Hageman~220796
Kevin Hageman~220796
Paul Fisher (II)~220796
Adam Sztykiel~223543
Derek Elliott~223543
Jack Donaldson~223543
Joseph Barbera~223543
Matt Lieberman~223543
William Hanna~223543
Benh Zeitlin~223801
Eliza Zeitlin~223801
Billy Ray~226927
Kent Alexander~226927
Kevin Salwen~226927
Marie Brenner~226927
Doug Davison~227834
Jeff Buhler~227834
Nicolas Pesce~227834
Takashi Shimizu~227834
K. A. Applegate~228233
Mike White~228233
Hirokazu Yasuhara~229574
Josh Miller (LVIII)~229574
Naoto Ohshima~229574
Patrick Casey~229574
Yuji Naka~229574
Eric Johnson (II)~229918
Jake Tapper~229918
Paul Tamasy~229918
Michael Almereyda~230980
David Victori~235822
Jordi Vallejo~235822
Amanda Silver~236613
Elizabeth Martin~236613
Lauren Hynek~236613
Rick Jaffa~236613
Bob McLeod~237864
Chris Claremont~237864
Dave Cockrum~237864
Josh Boone~237864
Knate Lee~237864
Len Wein~237864
Andrew Fleming~238318
Daniel Casey~238318
Leigh Janiak~238318
Phil Graziadei~238318
Zoe Lister-Jones~238318
Emma Needell~238540
Andrew Lanham~239735
Bryan Stevenson~239735
Destin Daniel Cretton~239735
Jennifer Niven~239793
Liz Hannah~239793
Glenn Berger~242955
Jonathan Aibel~242955
Stephen Hillenburg~242955
Tim Hill~242955
Kara Holden~244825
Laura Sobiech~244825
Andrew Stern~245066
Ellen Brown Furman~245066
James Patterson~245066
Liza Marklund~245066
Brett Haley~246114
Marc Basch~246114
Matthew Quick~246114
Ol Parker~246114
Dolores Redondo~246204
Luiso Berdejo~246204
Jacqueline Wilson~247544
Simon Lewis~247544
Zoé Wittock~247887
Aaron Starmer~247970
Brian Duffield~247970
Frances Hodgson Burnett~248084
Jack Thorne~248084
Matt Ember~248196
Robert Kimmel Smith~248196
Tom J. Astle~248196
Brian Lynch~248481
Cinco Paul~248481
Matthew Fogel~248481
Krystal Sutherland~248538
Richard Tanne~248538
Bernd Lange~248624
Florian Gallenberger~248624
Siegfried Lenz~248624
Cecil Scott Forester~250108
Tom Hanks~250108
Caroline Goodall~250282
Lisa St Aubin de Terán~250282
Cullen Bunn~250838
David Prior~250838
J.M. Coetzee~251126
Ben Mole~251300
Elizabeth Tippet~251303
Glenn Berger~251303
Jonathan Aibel~251303
Maya Forbes~251303
Thomas Dam~251303
Wallance Wolodarsky~251303
Christopher Nolan~251315
Dan Scanlon~251353
Jason Headley~251353
Keith Bunin~251353
Kemp Powers~251354
Mike Jones~251354
Pete Docter~251354
Josh Trank~251401
Greg Williams~251813
Joe Swanson~251813
Lior Chefetz~251813
Matt McAllester~251813
Evan Morgan~253376
Michael Werwie~253821
Robert Kolker~253821
Lin-Manuel Miranda~253979
Caroline Bongrand~254015
Martin Bourboulon~254015
Martin Brossollet~254015
Natalie Carter~254015
Tatiana De Rosnay~254015
Thomas Bidegain~254015
Jean-Marc Pannetier~254359
Will Collins~254359
Bastian Günther~254439
Jeffrey Addiss~254508
Will Matthews~254508
Daniel Gregor~254755
Doug Mand~254755
Hugh Lofting~254755
Stephen Gaghan~254755
Tom Sheppard~254755
J.D. Vance~255411
Vanessa Taylor~255411
Kris Pearn~255548
Lois Lowry~255548
Mark Stanleigh~255548
Pilar Palomero~255868
Mark Hodkinson~255961
Richard Conroy~255961
Sean McCormack (II)~255961
Toby Genkel~255961
Benjamin Diouris~256203
Luke Davies~256220
Paul Greengrass~256220
Paulette Jiles~256220
Barbara Nicolosi~256312
Marco Pontecorvo~256312
Valerio d'Annunzio~256312
Joanna Hogg~256403
Francis Annan~256405
L.H. Adams~256405
Tim Jenkin~256405
Dave Callaham~256588
Geoff Johns~256588
Patty Jenkins~256588
William Moulton Marston~256588
J.M. DeMatteis~257202
Mark Millar~257202
Steve Mallory~257735
Justin Simien~258251
Carey W. Hayes~258623
Chad Hayes~258623
Henry James~258623
Dee Rees~259428
Joan Didion~259428
Marco Villalobos~259428
Jack London~259759
Michael Green~259759
Joel Cohen~260397
John Frink~260397
Rob LaZebnik~260397
Pedro Lemebel~260758
Rodrigo Sepúlveda~260758
James D'Arcy~260892
Mattias Olsson~261168
Brigitte Buc~261294
Valérie Lemercier~261294
David E. Talbert~261326
Jack Thorne~261721
Nancy Springer~261721
Laura Piani~262089
Anas Khalaf~262097
Magali Negroni~262097
Rana Kazkaz~262097
Sean Durkin~262145
Charlie Kaufman~262151
Iain Reid~262151
Gonzalo Tobal~262182
Stéphane Demoustier~262182
Ulises Porra~262182
Robert McEveety~262281
Sam Bain~262377
Audrey Wells~262477
Jennifer Yee McDevitt~262477
Joshua Friedlander~262535
Colin Krisel~262801
James Krisel~262801
Antonio Campos~262861
Donald Ray Pollock~262861
Paulo Campos~262861
Leonie Krippendorff~263104
Miranda July~263390
Annie Ernaux~263555
Danielle Arbid~263555
Ben Cookson~263662
Michael Morpurgo~263662
Toby Torlesse~263662
Damon Lindelof~263711
Nick Cuse~263711
Maggie Peren~263776
Anne Paulicevich~263796
Arlette Langmann~264054
Jean-Claude Carrière~264054
Philippe Garrel~264054
Julia Walton~264174
Nick Naveda~264174
Christina Hodson~264177
Chuck Dixon~264177
Jordan B. Gorfinkel~264177
Clea DuVall~264297
Mary Holland~264297
Abraham Katz~264517
David Safier~264517
Kirstie Falkous~264517
Jérémie Guez~264525
Peter Dexter~264525
Christopher MacBride~264598
Micah Ranum~264617
Fin Edquist~264645
Gerhard Hahn~264645
Tess Meyer~264645
Fin Edquist~264648
Jayne Lyons~264648
Kevin McManus~264667
Matthew McManus~264667
Emmanuel Fansten~264694
Hubert Avoine~264694
Jeanne Aptekman~264694
Thierry de Peretti~264694
Chris Sparling~264720
Brandon Cronenberg~264768
Nicol Paone~264856
Claire Mercier~264892
Fabienne Godet~264892
Franck Vassal~264892
Sophie Fillières~264892
Adam Cole-Kelly~264986
Sam Pitman~264986
Joanna Rakoff~265087
Philippe Falardeau~265087
Johann Hari~265425
Suzan-Lori Parks~265425
Aneesh Chaganty~265479
Sev Ohanian~265479
Andrew Steele~265568
Will Ferrell~265568
Guillermo del Toro~265585
Kenya Barris~265585
Roald Dahl~265585
Robert Zemeckis~265585
Joe Robert Cole~265590
Alfred Doblin~265625
Burhan Qurbani~265625
Martin Behnke~265625
David Ayer~265659
Ace Atkins~265746
Robert B. Parker~265746
Sean O'Keefe~265746
Trey Edward Shults~265900
Andy Goddard~265910
Celyn Jones~265910
Suzy Eddie Izzard~265910
Paulo Cursino~265987
Benjamin Parent~266257
Charlotte Sanson~266257
Théo Courtial~266257
Tristan Schulmann~266257
Victor Rodenbach~266257
Bille August~266297
Christian Torpe~266297
Dirk Ahner~266326
Greg Rucka~266487
Leandro Fernández~266487
Matthew Newton~266638
Dan Walser~266827
Greg Neri~266827
Ricky Staub~266827
David Loughery~266845
Ryu Yong-jae~266875
Sang-Ho Yeon~266875
Jacob Grimm~266889
Rob Hayes~266889
Wilhelm Grimm~266889
Amro Hamzawi~267162
Angel Kristi Williams~267237
Felicia A. Pride~267237
Argyris Papadimitropoulos~267259
Rob Hayes~267259
Anne Fontaine~267302
Claire Barré~267302
Hugo Boris~267302
Emmanuelle Pagano~267319
Guillaume André~267319
Nora Martirosyan~267319
Olivier Torres~267319
Aron Abrams~267358
Brendan Gall~267358
Martin Gero~267358
Joe Russo~267389
Garfield L. Miller~267653
Hilary Pryor~267653
Christophe Duthuron~267703
Clément Michel~267703
Méliane Marcaggi~267703
Will Wernick~267774
C.B. Yi~267960
Vincent Le Port~267961
Mattson Tomlin~268042
Omar Zúñiga Hidalgo~268124
Antoine Barraud~268283
Hélier Cisterne~268283
Joseph Andras~268283
Katell Quillévéré~268283
Christian White (II)~268322
Natalie Erika James~268322
Jean-Louis Milesi~268348
Jon Stewart~268373
Mark Williams (II)~268631
Steve Allrich~268631
Antoine Salomé~268644
Hannelore Cayre~268644
Jean-Paul Salomé~268644
Viggo Mortensen~268684
Charlotte Kirk~268709
Edward Evers-Swindell~268709
Neil Marshall~268709
Andrew Boonkrong~268801
Clark Duke~268801
Aileen Mioko Smith~268923
Andrew Levitas~268923
David Kessler (IV)~268923
Jason Forman~268923
Stephen Deuters~268923
William Eugene Smith~268923
Stacey Menear~268927
Ben Stassen~268934
Bob Barlen~268934
Cal Brunker~268934
Andrea Marcellus~269127
Ayn Carrillo-Gailey~269127
Gia Coppola~269152
Tom Stuart (II)~269152
Jonathan Raymond~269258
Kelly Reichardt~269258
Amanda Idoko~269319
Prentice Penny~269425
Gabor Rassov~269513
Samuel Benchetrit~269513
Benjamin Adam~269514
Fadette Drouard~269514
Raphaël Jacoulot~269514
Ryusho Kadota~269695
Yoichi Maekawa~269695
Jenny Han~269977
Sofia Alvarez (II)~269977
Àlex Pastor~269991
David Pastor~269991
Harry Cripps~270075
Jane Harper~270075
Robert Connolly~270075
Bernard Minier~270220
Laura Muñoz~270220
Michel Franco~270257
Kitty Green~270435
Cecilia Rouaud~270443
Elodie Namer~270443
Ruben Alves~270443
Francis Lee~270485
Antonin Peretjatko~270560
Noëlle Renaude~270560
Jean-Paul Rouve~270653
Julien Hervé~270653
Nessim Chikhaoui~270653
Olivier Baroux~270653
Philippe Mechelen~270653
Sofia Coppola~270959
Antoine Lacomblez~271068
Charlène Favier~271068
Marie Talon~271068
Dave Sirus~271357
Judd Apatow~271357
Pete Davidson~271357
Max Landis~271379
Roseanne Liang~271379
Christopher Bell~271427
Gabriel Range~271427
Ludovic Bergery~271453
Josh Campbell~271454
Matthew Stuecken~271454
Joshua Caldwell~271502
Barry Alexander Brown~271550
Bob Zellner~271550
Constance Curry~271550
Nicholas Jarecki~271574
Jeremy Camp~271592
Jon Erwin~271592
Jon Gunn~271592
Cüneyt Kaya~271597
Oliver Kienle~271598
Marc O. Seng~271599
Daniel Cohen~271602
Olivier Dazat~271602
Fabrice De Costil~271607
Rémi Chayé~271607
Sandra Tosello~271607
Henry Gayden~271646
Moritz Bleibtreu~271656
Chloé Zhao~271687
Jessica Bruder~271687
Spike Lee~271699
Martin Provost~271733
Séverine Werba~271733
Jay Arnold~271766
Vince Marcello~271766
Fabrice Roger-Lacan~271832
Jan Kounen~271832
Vincent Lindon~271832
Eran Kolirin~271844
Sayed Kashua~271844
Larry Watson~271917
Thomas Bezucha~271917
Christian Petzold~271953
Eugene Ashe~272015
Arab Nasser~272131
Fadette Drouard~272131
Tarzan Nasser~272131
Tiffany Paulsen~272209
Matthew McArdle~272210
Max Brallier~272210
Chris Pappas~272213
Kevin Barnett~272213
Caroline Vignal~272217
Stéphanie Chuat~272249
Véronique Reymond~272249
Koyoharu Gotouge~272355
Shane McCarthy~272387
Eric Navarro Serna~272428
Marta Sánchez (II)~272428
Olatz Arroyo~272428
Reem Kherici~272428
Andy Siara~272475
Dave Franco~272483
Joe Swanberg~272483
Laurent Mauvignier~272523
Lucas Belvaux~272523
Janet Vokes~272586
Neil McKay~272586
Katrin Bühlig~272604
Cristi Puiu~272698
Vladimir Soloviev~272698
Stella Meghie~272766
Ellen Rapoport~272768
John Finnemore~272768
Kohei Horikoshi~272834
Yosuke Kuroda~272834
Dimitri Logothetis~272835
Jim McGrath (II)~272835
Jérémie Guez~272970
Julien Leclercq~272970
Emerald Fennell~273120
Alison Peck~273208
Marek Epstein~273263
Isabel Peña~273345
Rodrigo Sorogoyen~273345
David Golden (II)~273369
Michael Venus~273373
Tim Doiron~273445
Diana Ossana~273446
Larry McMurtry~273446
Eliza Hittman~273487
Mart Crowley~273577
Ned Martel~273577
Dean Craig~273578
Andy Tennant~273783
Bekah Brunstetter~273783
Rhonda Byrne~273783
Rick Parks~273783
Jordan Horowitz~273856
Julia Hart~273856
Ludovic Bernard~273882
Mathieu Oullion~273882
Franck Victor~273912
Jérôme Genevray~273912
Christopher Hampton~273981
Florian Zeller~273981
Anna Sewell~274079
Ashley Avis~274079
Eshom Nelms~274090
Ian Nelms~274090
Doug Wolfe~274112
Cory Miller~274141
Dave Paterson~274158
Seth Larney~274158
Alex Litvak~274161
Andrew Green~274161
Austin Winsberg~274161
George Gallo~274177
Harry Hurwitz~274177
Josh Posner~274177
Lane Skye~274180
Nick Morris~274180
Ruckus Skye~274180
Faïza Guène~274203
Jézabel Marques~274203
Vincent Cappello~274203
Jérémie Guez~274204
Nicolas Bouvet~274204
Simon Moutaïrou~274204
Yann Gozlan~274204
Carl Ellsworth~274205
Antoine de Maximy~274282
Thomas Pujol~274282
David Caviglioli~274312
Hugo Benamozig~274312
Albert Dupontel~274345
Xavier Nemo~274345
Rodrigo García~274347
Anna Todd~274369
Mario Celaya~274369
Flora Greeson~274394
Audrey Diwan~274530
Benjamin Charbit~274530
Cédric Jimenez~274530
Simon Block~274558
Gilles de Maistre~274585
Prune de Maistre~274585
Geoff Cox~274627
Hermann Huppen~274627
Julius Berg~274627
Mathieu Gompel~274627
Yves H.~274627
Adam Sandler~274680
Tim Herlihy~274680
Izumi Takahashi~274683
Mizuki Tsujimura~274683
Naomi Kawase~274683
Bernard Stora~274710
Pascale Robert-Diard~274710
Sonia Moyersoen~274710
Hu Guan~274740
Rui Ge~274740
Laetitia Franceschini~274780
Marie-Cécile Piquet~274780
Brian Sawyer~274802
Gregg Rossen~274802
Aidan Chambers~274837
François Ozon~274837
Alice Wu~274978
Thomas Vinterberg~275050
Tobias Lindholm~275050
Meg Leonard~275086
Nick Moorcroft~275086
Noel Coward~275086
Piers Ashworth~275086
Alice Girard~275121
Marinette Lévy~275121
Mathias Gavarry~275121
Noémie Saglio~275121
Jean-Pierre Améris~275138
Murielle Magellan~275138
Sorj Chalandon~275138
August Wilson~275143
Ruben Santiago-Hudson~275143
Alexandre Bustillo~275155
Julien Maury~275155
Stanley Tong~275156
Tiffany Alycia Tong~275156
Frank Pape~275198
Katja Kittendorf~275198
Tommy Wosch~275198
Lily Brooks-Dalton~275220
Mark L. Smith~275220
Bob Martin~275230
Chad Beguelin~275230
Jack Viertel~275230
Matthew Sklar~275230
Laurent Lafitte~275263
Sébastien Thiery~275263
Arthur Loustalot~275443
Christophe Hermans~275443
Noémie Nicolas~275443
Kemp Powers~275539
Jack Fincher~275554
Lee Isaac Chung~275596
Benoît Delépine~275608
Gustave Kervern~275608
Andrew Cohn~275776
Clovis Cornillac~275805
Lilou Fogli~275805
Tristan Schulmann~275805
Christopher Renz~275832
Gerard Bush~275832
David Orea~275838
Gema R. Neira~275838
Ramón Campos~275838
Salvador Serrano~275838
Gaspar Noé~275913
Michael Armbruster~275949
Shawn Ku~275949
Eusebio Larrea~275976
Olivier Pairoux~275976
Christopher Grøndahl~276010
Kjetil Indregard~276010
John Swab~276014
Kurt Wimmer~276096
Catherine Paillé~276223
Guillaume Brac~276223
Chris Columbus~276269
Matt Lieberman~276269
Dan Lagana~276506
McG~276506
Deborah Eisenberg~276539
Preston Thompson~276589
Dallas Jackson~276628
Anne-Elisabeth Le Gal~276629
